time_s,template_normalized_negative_peak_minus1
1.541666666666666663e-03,5.682457357402745934e-01
1.552083333333333266e-03,5.600869522485233398e-01
1.562500000000000087e-03,5.516078261934891369e-01
1.572916666666666690e-03,5.428416293424138672e-01
1.583333333333333294e-03,5.338203823011397064e-01
1.593749999999999898e-03,5.245748426898541039e-01
1.604166666666666718e-03,5.151345001222573661e-01
1.614583333333333322e-03,5.055275772899612274e-01
1.624999999999999925e-03,4.957810364808613590e-01
1.635416666666666746e-03,4.859205908912130889e-01
1.645833333333333350e-03,4.759707201254096964e-01
1.656249999999999953e-03,4.659546893141537915e-01
1.666666666666666774e-03,4.558945713201625893e-01
1.677083333333333377e-03,4.458112715400102122e-01
1.687499999999999981e-03,4.357245548506252231e-01
1.697916666666666585e-03,4.256530742887537633e-01
1.708333333333333405e-03,4.156144010908904285e-01
1.718750000000000009e-03,4.056250557593563677e-01
1.729166666666666612e-03,3.957005398570093146e-01
1.739583333333333433e-03,3.858553682682203112e-01
1.750000000000000036e-03,3.761031016969957896e-01
1.760416666666666640e-03,3.664563792042990764e-01
1.770833333333333244e-03,3.569269506156087512e-01
1.781250000000000064e-03,3.475257086564295106e-01
1.791666666666666668e-03,3.382627206978603973e-01
1.802083333333333271e-03,3.291472600163605211e-01
1.812500000000000092e-03,3.201878364916279085e-01
1.822916666666666696e-03,3.113922266840334907e-01
1.833333333333333299e-03,3.027675032484370421e-01
1.843749999999999903e-03,2.943200636545648674e-01
1.854166666666666723e-03,2.860556581955401856e-01
1.864583333333333327e-03,2.779794172757916182e-01
1.874999999999999931e-03,2.700958779775246010e-01
1.885416666666666751e-03,2.624090099114102514e-01
1.895833333333333355e-03,2.549222403622228295e-01
1.906249999999999958e-03,2.476384787440233659e-01
1.916666666666666562e-03,2.405601403822751894e-01
1.927083333333333382e-03,2.336891696421056486e-01
1.937499999999999986e-03,2.270270624229626388e-01
1.947916666666666590e-03,2.205748880402434442e-01
1.958333333333333193e-03,2.143333105142523343e-01
1.968750000000000014e-03,2.083026092861364753e-01
1.979166666666666834e-03,2.024826993794018315e-01
1.989583333333333221e-03,1.968731510242724692e-01
2.000000000000000042e-03,1.914732087606345334e-01
2.010416666666666862e-03,1.862818100336638971e-01
2.020833333333333249e-03,1.812976032945224081e-01
2.031250000000000069e-03,1.765189656168018317e-01
2.041666666666666456e-03,1.719440198377223117e-01
2.052083333333333277e-03,1.675706512314871222e-01
2.062500000000000097e-03,1.633965237207151422e-01
2.072916666666666484e-03,1.594190956305026885e-01
2.083333333333333304e-03,1.556356349884563395e-01
2.093750000000000125e-03,1.520432343729861968e-01
2.104166666666666512e-03,1.486388253112540248e-01
2.114583333333333332e-03,1.454191922274562510e-01
2.125000000000000153e-03,1.423809859415713641e-01
2.135416666666666539e-03,1.395207367183108893e-01
2.145833333333333360e-03,1.368348668657880518e-01
2.156250000000000180e-03,1.343197028833398032e-01
2.166666666666666567e-03,1.319714871579939497e-01
2.177083333333333388e-03,1.297863892092656901e-01
2.187500000000000208e-03,1.277605164822678829e-01
2.197916666666666595e-03,1.258899246895230639e-01
2.208333333333333415e-03,1.241706277023608557e-01
2.218749999999999802e-03,1.225986069933493877e-01
2.229166666666666623e-03,1.211698206318407994e-01
2.239583333333333443e-03,1.198802118353885782e-01
2.249999999999999830e-03,1.187257170805081502e-01
2.260416666666666650e-03,1.177022737769908567e-01
2.270833333333333471e-03,1.168058275107356353e-01
2.281249999999999858e-03,1.160323388608129475e-01
2.291666666666666678e-03,1.153777897972280975e-01
2.302083333333333499e-03,1.148381896665804369e-01
2.312499999999999886e-03,1.144095807735257125e-01
2.322916666666666706e-03,1.140880435666290216e-01
2.333333333333333526e-03,1.138697014378381028e-01
2.343749999999999913e-03,1.137507251454103890e-01
2.354166666666666734e-03,1.137273368706842452e-01
2.364583333333333121e-03,1.137958139195940493e-01
2.374999999999999941e-03,1.139524920802852948e-01
2.385416666666666761e-03,1.141937686485910569e-01
